district,division,mandal
ADILABAD,ADILABAD RURAL,ADILABAD (RURAL)
ADILABAD,ADILABAD RURAL,ADILABAD (URBAN)
ADILABAD,ADILABAD RURAL,BELA
ADILABAD,ADILABAD RURAL,Bhoraj
ADILABAD,ADILABAD RURAL,JAINAD
ADILABAD,ADILABAD RURAL,MAVALA
ADILABAD,ADILABAD RURAL,Satnala
ADILABAD,BOATH,BAZARHATHNOOR
ADILABAD,BOATH,BOATH
ADILABAD,BOATH,NERADIGONDA
ADILABAD,BOATH,Sonala
ADILABAD,ICHODA,GUDI HATHNUR
ADILABAD,ICHODA,ICHODA
ADILABAD,ICHODA,SIRIKONDA
ADILABAD,TAMSI,BHEEMPUR
ADILABAD,TAMSI,TALAMADUGU
ADILABAD,TAMSI,TAMSI
ADILABAD,UTNUR,GADIGUDA
ADILABAD,UTNUR,INDERAVELLY
ADILABAD,UTNUR,NARNOOR
ADILABAD,UTNUR,UTNUR
BHADRADRI KOTHAGUDEM,ASWARAOPETA,ANNAPUREDDYPALLI
BHADRADRI KOTHAGUDEM,ASWARAOPETA,ASWARAOPETA
BHADRADRI KOTHAGUDEM,ASWARAOPETA,CHANDRUGONDA
BHADRADRI KOTHAGUDEM,ASWARAOPETA,DAMMAPETA
BHADRADRI KOTHAGUDEM,ASWARAOPETA,MULAKALAPALLE
BHADRADRI KOTHAGUDEM,BHADRACHALAM,BHADRACHALAM
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA
BHADRADRI KOTHAGUDEM,BHADRACHALAM,DUMMAGUDEM
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,CHUNCHUPALLY
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,JULURPAD
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,PALWANCHA
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,SUJATHANAGAR
BHADRADRI KOTHAGUDEM,MANUGURU,ALLAPALLI
BHADRADRI KOTHAGUDEM,MANUGURU,ASWAPURAM
BHADRADRI KOTHAGUDEM,MANUGURU,BURGAMPADU
BHADRADRI KOTHAGUDEM,MANUGURU,GUNDALA
BHADRADRI KOTHAGUDEM,MANUGURU,KARAKAGUDEM
BHADRADRI KOTHAGUDEM,MANUGURU,MANUGURU
BHADRADRI KOTHAGUDEM,MANUGURU,PINAPAKA
BHADRADRI KOTHAGUDEM,YELLANDU,TEKULAPALLE
BHADRADRI KOTHAGUDEM,YELLANDU,YELLANDU
HANMAKONDA,HANAMKONDA,BHEEMADEVARPALLE
HANMAKONDA,HANAMKONDA,DHARMASAGAR
HANMAKONDA,HANAMKONDA,ELKATHURTHI
HANMAKONDA,HANAMKONDA,HANAMKONDA
HANMAKONDA,HANAMKONDA,HASANPARTHY
HANMAKONDA,HANAMKONDA,INAVOLU
HANMAKONDA,HANAMKONDA,KAMALAPUR
HANMAKONDA,HANAMKONDA,KHAZIPET
HANMAKONDA,HANAMKONDA,VELAIR
HANMAKONDA,PARKAL,ATMAKUR
HANMAKONDA,PARKAL,DAMERA
HANMAKONDA,PARKAL,Nadikuda
HANMAKONDA,PARKAL,PARKAL
HANMAKONDA,PARKAL,SHAYAMPET
JAGTIAL,DHARMAPURI,BUGGARAM
JAGTIAL,DHARMAPURI,DHARMAPURI
JAGTIAL,DHARMAPURI,Endapalli
JAGTIAL,DHARMAPURI,GOLLAPALLE
JAGTIAL,DHARMAPURI,PEGADAPALLE
JAGTIAL,DHARMAPURI,VELGATOOR
JAGTIAL,JAGTIAL,BEERPUR
JAGTIAL,JAGTIAL,Bheemaram
JAGTIAL,JAGTIAL,JAGTIAL
JAGTIAL,JAGTIAL,JAGTIAL RURAL
JAGTIAL,JAGTIAL,KODIMIAL
JAGTIAL,JAGTIAL,MALLIAL
JAGTIAL,JAGTIAL,MEDIPALLE
JAGTIAL,JAGTIAL,RAIKAL
JAGTIAL,JAGTIAL,SARANGAPUR
JAGTIAL,KORUTLA,IBRAHIMPATNAM
JAGTIAL,KORUTLA,KATHLAPUR
JAGTIAL,KORUTLA,KORUTLA
JAGTIAL,KORUTLA,MALLAPUR
JAGTIAL,KORUTLA,METPALLI
