district_code,district_name,mandals_blocks,villages,polygon_features,area_sq_km,area_acres,min_lon,min_lat,max_lon,max_lat
01,ADILABAD,52,1862,1863,16115.993794998989,3982348.794435695,77.76185491065083,18.670342551563063,79.97965062951126,19.916979744278287
06,HYDERABAD,1,1,1,174.634208735055,43153.052766692344,78.38198826049211,17.2912456100856,78.5430516065291,17.484305856216395
03,KARIMNAGAR,56,1111,1115,11851.00089899781,2928446.0979145733,78.51362870362323,17.983701180348934,80.34772661977988,19.077679968319647
10,KHAMMAM,43,985,992,13132.386337503292,3245083.335502941,79.80156423374903,16.768596616827665,81.31614891009158,18.629432139870687
07,MAHABUBNAGAR,64,1559,1561,18392.0745928756,4544780.608245085,77.23689855902087,15.837311581574191,79.23426313423275,17.237737673597856
04,MEDAK,46,1275,1279,9679.998086044363,2391979.619653423,77.4431083880763,17.428067841719436,79.12660465378386,18.285487951014343
08,NALGONDA,59,1170,1174,14210.03285311844,3511375.588830784,78.61130343460937,16.356960410148368,80.07294608588796,17.813008008199862
02,NIZAMABAD,36,933,933,7952.970275295036,1965221.7536738068,77.52065387321555,18.05982815794737,78.66998852237901,19.016253817940317
05,RANGAREDDY,37,1094,1095,7506.213994660387,1854825.87252473,77.36282536475517,16.845606113497613,78.84415636118645,17.708685086696104
09,WARANGAL,51,1139,1141,12809.780511045217,3165365.699692488,78.82731949559148,17.3217713345671,80.66655844632564,18.609772651058222
