district_code,district_name,block_mandal_code,block_mandal_name,village_code,village_name,habitation_code,area_sq_m,area_ha,area_sq_km,area_acres,perimeter_m,centroid_lon,centroid_lat,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,geometry_type,source_more_40ha,source_less_40ha,source_total,source_dmvt,OBJECTID,OBJECTID_1
04,MEDAK,0426,ANDOLE,0426002,Serimallareddipalle,04036260020102,2299556.817103,229.95568171029998,2.299556817103,568.2328644956573,6438.492958,77.99773456984828,17.86747389096241,77.98600388735427,17.85924956629579,78.007370396469,17.87491372275584,Polygon,,3.0,3.0,3.0,3,2
04,MEDAK,0407,ALLADURG,0407019,Marvelly,04036070190121,10707884.101857,1070.7884101856998,10.707884101857,2645.975785695569,13379.171907,77.94002985409699,17.855098222545216,77.92184782350468,17.836769040783658,77.95604851114635,17.872975376041907,Polygon,,1.0,1.0,1.0,6,3
04,MEDAK,0422,DOULTABAD,0422032,Rangampet,04041220320120,4558146.672363,455.8146672363,4.558146672363,1126.3425722575494,8198.798881,78.62492061305596,17.869419362487214,78.61221089074988,17.858556809693287,78.63741767960464,17.88118796943134,Polygon,,2.0,2.0,2.0,7,4
04,MEDAK,0426,ANDOLE,0426012,Yerraram,04036260120110,9849087.058594,984.9087058594,9.849087058594,2433.7624147171914,12824.210324,78.02095089818816,17.85722448219847,77.99993957156872,17.838251776921048,78.0398749395261,17.873216669057367,Polygon,,5.0,5.0,5.0,9,5
04,MEDAK,0443,TUPRAN,0443007,Malkapur,04042430070104,9964934.812451,996.4934812450999,9.964934812451,2462.38901812614,13011.877498,78.54557055006262,17.86119972740774,78.53042794001072,17.843452220566885,78.56033190523168,17.8790535833043,Polygon,,7.0,7.0,7.0,10,6
04,MEDAK,0420,JAGDEVPUR,0420003,Chinna Kistapur,04042200030101,8680113.843316,868.0113843316,8.680113843316,2144.9028424310227,13855.411659,78.8120127195374,17.864929114996748,78.78634402015312,17.853525792454604,78.83547461110757,17.87956659803477,Polygon,,5.0,5.0,5.0,11,7
04,MEDAK,0425,KOWDIPALLE,0425027,Antharam,04037250270115,6169655.640625,616.9655640625,6.169655640625,1524.555110597689,11386.683925,78.17461813125017,17.860755174950185,78.15752901447212,17.848964910886085,78.19599104323436,17.871784985358897,Polygon,,3.0,3.0,3.0,13,8
04,MEDAK,0421,GAJWEL,0421020,Gajwel,04042210200120,22423076.067803,2242.3076067803,22.423076067803,5540.8627654017255,24954.807533,78.67594716694033,17.846856658022094,78.64196064655616,17.815201681410112,78.7168560626204,17.87754241568019,Polygon,,4.0,4.0,4.0,15,9
04,MEDAK,0425,KOWDIPALLE,0425029,Thimmapur,04037250290116,7798021.433698,779.8021433698001,7.7980214336980005,1926.933061063076,12170.564952,78.24873562658469,17.854054600596008,78.23466591142206,17.83779819929044,78.26337500891476,17.872270517556828,Polygon,,2.0,2.0,2.0,17,10
04,MEDAK,0442,SHIVAMPET,0442005,Konthanpalle,04037420050105,12061244.53276,1206.124453276,12.06124453276,2980.398431236422,17465.274495,78.41405810207247,17.85070065091315,78.39288924536233,17.82549895376052,78.43189075979143,17.874066960571596,Polygon,,1.0,1.0,1.0,18,11
04,MEDAK,0425,KOWDIPALLE,0425030,Nagasanpalle,04037250300116,3901794.214844,390.1794214844,3.901794214844,964.1543478654055,8328.372519,78.23119664564432,17.858197010596125,78.22102848654846,17.843015999080627,78.2393464960051,17.871494679764904,Polygon,,1.0,1.0,1.0,19,12
04,MEDAK,0426,ANDOLE,0426011,Danampalle,04036260110109,2580644.453125,258.0644453125,2.580644453125,637.6911320205774,7728.14673,78.04736215629818,17.86115959856307,78.03750812284767,17.84978739646337,78.05743839231617,17.86875646982893,Polygon,,1.0,1.0,1.0,20,13
04,MEDAK,0443,TUPRAN,0443001,Vattur,04042430010101,2928249.376034,292.8249376034,2.928249376034,723.5861790958704,7296.996904,78.43767242132347,17.85986225683693,78.42804611855873,17.850541057479198,78.44857150367352,17.872946310807723,Polygon,,1.0,1.0,1.0,21,14
04,MEDAK,0420,JAGDEVPUR,0420005,Teegul Narsapur,04042200050104,12680763.285046,1268.0763285046,12.680763285046,3133.4848488461166,16033.062104,78.84809495876372,17.858070309288394,78.8293692378168,17.836379220289214,78.87384136608051,17.877085043326478,Polygon,,2.0,2.0,2.0,22,15
04,MEDAK,0420,JAGDEVPUR,0420001,Ramachandrapur,04042200010101,5403080.004641,540.3080004641,5.403080004641001,1335.1301456444278,9859.913218,78.78180717236552,17.865061539839992,78.76910682055923,17.849802339820428,78.79602519360266,17.876467717087714,Polygon,,1.0,1.0,1.0,23,16
04,MEDAK,0443,TUPRAN,0443009,Venktaipalle,04042430090105,5147825.81895,514.782581895,5.14782581895,1272.0554627181625,9664.038023,78.52328842325682,17.85747110135558,78.5133562549725,17.843561409208277,78.5325958459091,17.873739184925416,Polygon,,4.0,4.0,4.0,26,17
04,MEDAK,0421,GAJWEL,0421012,Rimmanguda,04042210120113,10660468.191406,1066.0468191406,10.660468191406,2634.2590590559616,13499.076896,78.73458808988988,17.8558439943358,78.71616040643838,17.839007391316063,78.75451428285204,17.875941437211235,Polygon,,3.0,3.0,3.0,27,18
09,WARANGAL,0904,BACHANNAPET,0904013,Katkoor,09098040130112,12817038.582045,1281.7038582045,12.817038582045,3167.1592080956057,14218.684875,79.0233542384326,17.858814601445122,78.99962806215748,17.843630539084103,79.04672751470474,17.875687197573335,Polygon,,2.0,2.0,2.0,29,19
09,WARANGAL,0904,BACHANNAPET,0904003,Padamati Keshavapur,09098040030103,16002395.646021,1600.2395646021,16.002395646021,3954.2780804985246,19521.722516,78.932237001056,17.850603210565453,78.9058682828758,17.82365132414559,78.95318490456165,17.874062439102207,Polygon,,1.0,1.0,1.0,30,20
04,MEDAK,0421,GAJWEL,0421023,Bangla Venkatapur,04042210230124,8994403.255687,899.4403255687,8.994403255687,2222.56544756605,13438.872571,78.6020445670954,17.850175988503853,78.58375896570142,17.83146207292672,78.61906046411461,17.869238708854365,Polygon,,1.0,1.0,1.0,34,21
04,MEDAK,0425,KOWDIPALLE,0425034,Rajpet,04037250340119,7883200.126123,788.3200126123,7.883200126123,1947.9811743476298,14804.312072,78.26810572380427,17.843833055250343,78.2580051997288,17.81906725494537,78.28149881229733,17.86526443802663,Polygon,,2.0,2.0,2.0,35,22
04,MEDAK,0442,SHIVAMPET,0442003,Pambanda,04037420030103,14380019.960561,1438.0019960560999,14.380019960561,3553.380317859878,19062.349987,78.35852516101907,17.84519180982918,78.33134706556882,17.82499651628036,78.38291825541918,17.866112304972123,Polygon,,1.0,1.0,1.0,37,23
04,MEDAK,0422,DOULTABAD,0422029,Yelkal,04041220290127,3045725.073218,304.5725073218,3.045725073218,752.6150560616439,10592.294696,78.586998723011,17.850703813840553,78.57740673591313,17.834383587232015,78.59720782522693,17.868156242607153,Polygon,,1.0,1.0,1.0,38,24
04,MEDAK,0422,DOULTABAD,0422030,Begumpet,04041220300128,6268801.674195,626.8801674195,6.268801674195,1549.0546290439602,13264.86741,78.57270566633997,17.849808757079842,78.55840079390474,17.835348057818692,78.59000928014098,17.868143594460957,Polygon,,2.0,2.0,2.0,39,25
09,WARANGAL,0904,BACHANNAPET,0904014,Bandanagaram,09098040140113,3591913.039961,359.1913039961,3.5919130399609998,887.5810419364484,8185.77205,79.06091477735643,17.864630254195692,79.04560525537448,17.857245213276197,79.07357478644586,17.872346528751354,Polygon,,1.0,1.0,1.0,40,26
04,MEDAK,0426,ANDOLE,0426013,Neerdigunta,04036260130111,7391449.211371,739.1449211371,7.3914492113709995,1826.4668769710092,12651.076753,77.99562448490585,17.845815238004228,77.97475816446365,17.828707012865774,78.01337920728017,17.860213669911385,Polygon,,5.0,5.0,5.0,41,27
09,WARANGAL,0904,BACHANNAPET,0904015,Kesireddipalle,09098040150114,11226342.502501,1122.6342502501,11.226342502501,2774.089646561561,15161.938488,79.08409694134657,17.848725437663543,79.07036115910766,17.82271140835556,79.09882117090878,17.87195567721867,Polygon,,2.0,2.0,2.0,42,28
04,MEDAK,0425,KOWDIPALLE,0425025,Rahimguda,04037250250108,2136674.09375,213.667409375,2.13667409375,527.9836670071036,6225.83769,78.15107384896164,17.856545093836473,78.13914686567489,17.849710467002428,78.16182683911146,17.86182058474824,Polygon,,1.0,1.0,1.0,44,29
04,MEDAK,0443,TUPRAN,0443013,Tupran,04042430130109,12182786.511719,1218.2786511719,12.182786511719,3010.43210831136,15468.470724,78.47796525570557,17.842496200075175,78.45584596218694,17.821669750374046,78.50075380300828,17.86556697121061,Polygon,,1.0,1.0,1.0,45,30
09,WARANGAL,0903,NARMETTA,0903014,Bommakur,09098030140116,5184380.927023,518.4380927023,5.184380927023,1281.0884266431146,9098.160636,79.14300645119654,17.85750891160127,79.13223285808127,17.84320948456635,79.15646327793668,17.870960406218128,Polygon,,1.0,1.0,1.0,46,31
04,MEDAK,0425,KOWDIPALLE,0425031,Rajilapur,04037250310117,9672436.132392,967.2436132392,9.672436132392,2390.1110202115187,13949.254906,78.22408473901037,17.837481965915202,78.20587189559824,17.81924354075652,78.2413567284011,17.861298838795967,Polygon,,2.0,2.0,2.0,48,32
04,MEDAK,0427,RAIKODE,0427024,Karchal,04036270240115,5692415.567221,569.2415567221,5.6924155672209995,1406.6265202077755,10193.160327,77.8117494673043,17.843927660416043,77.79240729388684,17.833357325610073,77.82680037368415,17.854983775046016,Polygon,,1.0,1.0,1.0,50,33
04,MEDAK,0425,KOWDIPALLE,0425020,Faizabad,04037250200112,5536115.022939,553.6115022939,5.536115022939001,1368.0038145894464,10863.061659,78.11512250167416,17.850427849001385,78.096321742119,17.838904718496043,78.13274596250903,17.858580949205898,Polygon,,1.0,1.0,1.0,51,34
04,MEDAK,0405,REGODE,0405025,Khaderabad,04036050250118,11992374.675539,1199.2374675539,11.992374675539,2963.380318896238,16945.809795,77.91996154534758,17.836175278622438,77.88943327891525,17.822691537404012,77.9510582033773,17.855704003006466,Polygon,,3.0,3.0,3.0,52,35
04,MEDAK,0425,KOWDIPALLE,0425018,Somakkapet,04037250180128,4809507.482065,480.95074820649995,4.8095074820649995,1188.4551810248577,8814.464803,78.13888170353236,17.845990728713808,78.12487137163511,17.835143070445906,78.15293064254625,17.858666128009517,Polygon,,2.0,2.0,2.0,53,36
04,MEDAK,0426,ANDOLE,0426019,Dakoor,04036260190116,21293169.936536,2129.3169936536,21.293169936536,5261.656879812905,21289.78016,78.03531675204975,17.827582195963682,78.00472803796593,17.794250359034233,78.0570103105095,17.856385962271244,Polygon,,2.0,2.0,2.0,54,37
04,MEDAK,0426,ANDOLE,0426001,Telelma,04036260010101,9155484.989793,915.5484989793001,9.155484989793,2262.369610919706,12492.844113,77.97003653081477,17.840708487968193,77.95017138745158,17.828742078717482,77.99054463712966,17.854287447395414,Polygon,,3.0,3.0,3.0,55,38
04,MEDAK,0421,GAJWEL,0421022,Dharmareddipalle,04042210220123,8771757.717961,877.1757717961,8.771757717961,2167.5485370343044,12755.662326,78.63606083349175,17.849610013095088,78.61605060109228,17.834438532122025,78.65527203079245,17.862282171103377,Polygon,,2.0,2.0,2.0,56,39
04,MEDAK,0425,KOWDIPALLE,0425026,Salabatpur,04037250260115,12271725.447085,1227.1725447085,12.271725447085,3032.409397862259,15710.487809,78.1782259236918,17.842777386645622,78.14773816949526,17.829767157016803,78.20759844232501,17.85592584981438,Polygon,,3.0,3.0,3.0,60,40
04,MEDAK,0443,TUPRAN,0443015,Brahmanapalle,04042430150110,5085651.182359,508.5651182359,5.085651182358999,1256.691775425761,12774.569718,78.44076812399793,17.842137135953053,78.42294300697043,17.828840440049575,78.46221567600195,17.85759250889639,Polygon,,1.0,1.0,1.0,61,41
04,MEDAK,0443,TUPRAN,0443014,Padalpalle,04042430140110,2935079.859375,293.5079859375,2.935079859375,725.2740282874533,7394.990657,78.4543937511249,17.845834636540378,78.44455721992192,17.837312981330808,78.46422435825005,17.854498731046682,Polygon,,2.0,2.0,2.0,66,42
09,WARANGAL,0903,NARMETTA,0903016,Malakpet,09098030160118,3526867.993702,352.6867993702,3.526867993702,871.5080609680688,8345.258696,79.18160508488535,17.851402536068353,79.17402109337058,17.836005302735945,79.19489590531093,17.861451286669435,Polygon,,1.0,1.0,1.0,67,43
04,MEDAK,0420,JAGDEVPUR,0420004,Yellaiguda,04042200040103,4355036.5,435.50365,4.3550365,1076.1529556359285,9878.084247,78.8191992377009,17.848524361708325,78.8023371147362,17.834326766783985,78.83284968321318,17.858404501572807,Polygon,,2.0,2.0,2.0,68,44
04,MEDAK,0443,TUPRAN,0443010,Kistapur,04042430100106,1320832.050781,132.0832050781,1.3208320507809999,326.3847077622973,5277.694729,78.5076654105389,17.847760076069086,78.49919950527793,17.842273453822894,78.51772711860788,17.853347323891313,Polygon,,1.0,1.0,1.0,73,45
04,MEDAK,0420,JAGDEVPUR,0420011,Ananthsagar,04042200110108,4706904.238281,470.69042382810005,4.706904238281,1163.101367329844,13295.395638,78.7912147935314,17.8416927911397,78.77266147414275,17.824669217054584,78.80560577138408,17.855395903358716,Polygon,,4.0,4.0,4.0,76,46
04,MEDAK,0425,KOWDIPALLE,0425021,Banda Pothugal,04037250210120,4234942.993176,423.4942993176,4.234942993176,1046.4772038204544,10136.08952,78.10742085183006,17.83763437406049,78.09456720591395,17.827000775869635,78.13172588174149,17.846681644075293,Polygon,,2.0,2.0,2.0,78,47
04,MEDAK,0426,ANDOLE,0426020,Jogipet,04036260200117,6738642.886606,673.8642886606,6.738642886606001,1665.1549210657759,13732.178364,78.0718934355662,17.834354802027995,78.05613447825705,17.819614986003852,78.09638980250453,17.844903557547205,Polygon,,1.0,1.0,1.0,81,48
04,MEDAK,0442,SHIVAMPET,0442012,Kothapet,04037420120112,11121725.363942,1112.1725363941998,11.121725363942,2748.238188629936,19705.498523,78.3180292377444,17.82591628330932,78.29415039083712,17.80779184121451,78.35577628551049,17.84789322538152,Polygon,,1.0,1.0,1.0,82,49
09,WARANGAL,0907,RAGHUNATHPALLE,0907002,Quileshapur,09099070020102,46087816.684945,4608.7816684945,46.087816684945004,11388.547522922121,30557.010845,79.22228618517879,17.813855269384327,79.17270320815518,17.780762178579458,79.26316013762634,17.85542393184778,Polygon,,7.0,7.0,7.0,83,50
04,MEDAK,0427,RAIKODE,0427031,Naganpalle,04036270310121,6926680.007812,692.6680007812,6.926680007812,1711.619905631372,12051.906246,77.81014943083159,17.826364857388864,77.78831365911812,17.806830181617084,77.82666489626126,17.83904614453715,Polygon,,2.0,2.0,2.0,84,51
04,MEDAK,0420,JAGDEVPUR,0420008,Baswapur,04042200080103,5445523.253906,544.5523253906,5.445523253906001,1345.6181009447616,10294.083062,78.8330458155809,17.832212000282315,78.81934997722713,17.822323487487413,78.84978831246849,17.85003196129973,Polygon,,3.0,3.0,3.0,90,52
04,MEDAK,0444,WARGAL,0444001,Narsampalle,04042440010101,2996957.93511,299.695793511,2.9969579351099997,740.5644337964046,9281.420678,78.5451257785231,17.83991312573771,78.52447476802978,17.831374236368735,78.55970616550462,17.845346847206873,Polygon,,1.0,1.0,1.0,93,53
04,MEDAK,0440,HATHNOORA,0440002,Sirpuram,04037400020101,5261415.598904,526.1415598904,5.261415598904,1300.124108624467,11978.609323,78.14320412264932,17.818989369922612,78.13054334516715,17.79801909088534,78.15030794148286,17.839289659154108,Polygon,,4.0,4.0,4.0,95,54
04,MEDAK,0444,WARGAL,0444002,Nacharam,04042440020102,6814322.191067,681.4322191067,6.814322191067,1683.855684463781,11609.654025,78.5381695694892,17.829310865006136,78.51724691249149,17.813665514999332,78.55459546543615,17.843641954459954,Polygon,,3.0,3.0,3.0,96,55
04,MEDAK,0425,KOWDIPALLE,0425033,Mutrajpalle,04037250330124,5320286.99261,532.028699261,5.32028699261,1314.6715468236919,10521.309578,78.25018222648995,17.82859405208941,78.23844300825483,17.81524591626123,78.26659415773092,17.840474609699136,Polygon,,3.0,3.0,3.0,97,56
09,WARANGAL,0904,BACHANNAPET,0904017,Kodavatoor,09098040170115,10361710.684884,1036.1710684884001,10.361710684884,2560.434471440664,15007.192931,79.05409938307143,17.830895134815766,79.03178560560593,17.815265246016196,79.0802088352373,17.848541112170476,Polygon,,1.0,1.0,1.0,98,57
04,MEDAK,0443,TUPRAN,0443016,Venkatapur @ Pattitupran,04042430160110,3787219.685028,378.7219685028,3.787219685028,935.8423649688016,9505.251169,78.44174964922715,17.826828081196716,78.42938246076282,17.814368562563914,78.45600633181623,17.84245665288577,Polygon,,3.0,3.0,3.0,99,58
09,WARANGAL,0904,BACHANNAPET,0904012,Alimpur,09098040120111,9433425.418492,943.3425418492001,9.433425418492,2331.0501865785195,13519.834066,79.01110961178438,17.833459728032878,78.98924416424306,17.814298407239797,79.03208740915615,17.847990538497957,Polygon,,2.0,2.0,2.0,100,59
