admin_old_district_code,admin_old_district_name,admin_old_block_mandal_code,admin_old_block_mandal_name,sample_farms,labelled_farms,unknown_health_farms,healthy_farms,stressed_farms,diseased_farms,pest_farms,unhealthy_farms,avg_health_risk_score,avg_crop_height,avg_water_coverage,avg_irrigation_count,avg_expected_yield,avg_field_area_ha,total_sample_area_ha,unhealthy_pct_of_labelled,label_coverage_pct
01,ADILABAD,0101,TALAMADUGU,74,5,69,5,0,0,0,0,0.0,88.3243,48.1892,3.8378,14.1622,0.778,57.5708,0.0,6.76
01,ADILABAD,0102,TAMSI,25,25,0,21,2,1,1,4,0.108,82.76,50.16,4.48,12.92,0.8145,20.3636,16.0,100.0
01,ADILABAD,0103,ADILABAD,55,51,4,41,5,3,2,10,0.1314,82.3455,46.0364,3.7091,13.3636,0.8018,44.0981,19.607843137254903,92.73
01,ADILABAD,0104,JAINAD,165,154,11,124,13,6,11,30,0.1377,70.2545,38.9939,2.7091,12.8182,0.7947,131.1281,19.480519480519483,93.33
01,ADILABAD,0105,BELA,82,82,0,71,4,4,3,11,0.0963,79.6951,43.3171,3.0732,13.4634,0.7541,61.8366,13.414634146341465,100.0
01,ADILABAD,0106,NARNOOR,133,88,45,75,5,4,4,13,0.1057,82.5038,42.1128,2.9323,11.7293,0.5437,72.3139,14.772727272727273,66.17
01,ADILABAD,0107,INDERAVELLY,313,312,1,259,16,15,22,53,0.1276,83.7125,42.4888,3.0831,12.7732,0.6571,205.6575,16.98717948717949,99.68
01,ADILABAD,0108,GUDIHATHNOOR,89,89,0,72,8,6,3,17,0.1292,63.2584,38.573,2.8876,11.6292,0.4254,37.8608,19.101123595505616,100.0
01,ADILABAD,0109,ICHODA,92,92,0,76,4,7,5,16,0.1315,66.3587,40.9457,3.1087,12.1522,0.4882,44.9167,17.391304347826086,100.0
01,ADILABAD,0110,BAZARHATHNOOR,149,149,0,125,9,5,10,24,0.1174,96.443,41.6913,2.7785,14.9799,0.3194,47.5895,16.10738255033557,100.0
01,ADILABAD,0111,BOATH,170,170,0,135,15,6,14,35,0.1465,69.5059,37.9765,2.7471,12.8471,0.4055,68.9365,20.588235294117645,100.0
01,ADILABAD,0112,NERADIGONDA,42,42,0,32,4,1,5,10,0.1738,60.5476,37.0238,2.5714,11.9524,0.4147,17.4191,23.809523809523807,100.0
01,ADILABAD,0113,SARANGAPUR,465,20,445,15,1,3,1,5,0.19,141.1312,58.8495,3.8065,22.1011,0.4433,206.1375,25.0,4.3
01,ADILABAD,0114,KUNTALA,165,6,159,5,0,1,0,1,0.1333,177.1576,49.4303,3.4606,22.3515,0.2742,45.2468,16.666666666666664,3.64
01,ADILABAD,0115,KUBEER,126,61,65,49,4,6,2,12,0.141,107.7619,40.5317,2.7302,15.9524,0.6472,81.5518,19.672131147540984,48.41
01,ADILABAD,0116,BHAINSA,265,263,2,216,16,9,22,47,0.1331,153.6226,46.7887,3.234,20.4,0.7967,211.138,17.870722433460077,99.25
01,ADILABAD,0117,TANOOR,286,284,2,226,20,22,16,58,0.1479,83.5245,36.0769,2.4301,13.8811,0.6763,193.4122,20.422535211267608,99.3
01,ADILABAD,0118,MUDHOLE,350,350,0,280,27,21,22,70,0.1431,111.6086,40.4029,2.7286,16.5486,0.9535,333.7078,20.0,100.0
01,ADILABAD,0119,LOKESWARAM,116,116,0,90,9,13,4,26,0.1595,178.5345,49.0603,3.2414,22.3017,0.2508,29.0905,22.413793103448278,100.0
01,ADILABAD,0120,DILAWARPUR,23,23,0,12,5,0,6,11,0.3435,173.7826,49.3043,3.1304,22.1739,0.4809,11.0607,47.82608695652174,100.0
