admin_old_district_name,admin_old_block_mandal_name,admin_village_code,admin_village_name,crop,health_category,sample_farms,labelled_farms,unknown_health_farms,healthy_farms,stressed_farms,diseased_farms,pest_farms,unhealthy_farms,avg_health_risk_score,avg_crop_height,avg_water_coverage,avg_irrigation_count,avg_expected_yield,avg_field_area_ha,total_sample_area_ha,unhealthy_pct_of_labelled,label_coverage_pct
ADILABAD,ADILABAD,0103001,Dimma,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,40.0,25.0,1.0,11.0,0.5296,0.5296,0.0,100.0
ADILABAD,ADILABAD,0103002,Pochara,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,94.5,49.0,4.0,17.5,0.523,1.046,0.0,100.0
ADILABAD,ADILABAD,0103005,Chanda,Cotton,Healthy,4,4,0,4,0,0,0,0,0.0,82.75,49.0,5.0,14.25,0.5947,2.3787,0.0,100.0
ADILABAD,ADILABAD,0103007,Landasangvi,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,79.5,46.0,4.5,14.5,0.896,1.7921,0.0,100.0
ADILABAD,ADILABAD,0103007,Landasangvi,Cotton,Stressed,1,1,0,0,1,0,0,1,0.5,110.0,40.0,4.0,10.0,1.6035,1.6035,100.0,100.0
ADILABAD,ADILABAD,0103008,Arli (Buzurg),Cotton,Healthy,3,3,0,3,0,0,0,0,0.0,79.6667,49.0,3.6667,13.0,0.856,2.5681,0.0,100.0
ADILABAD,ADILABAD,0103011,Bheemseri,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,97.0,51.0,4.0,16.0,0.7113,1.4225,0.0,100.0
ADILABAD,ADILABAD,0103012,Rampoor (Royati),Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,82.0,41.0,5.0,14.0,1.1231,1.1231,0.0,100.0
ADILABAD,ADILABAD,0103013,Tarada  (Srimath),Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,32.0,20.0,2.0,11.0,0.4958,0.4958,0.0,100.0
ADILABAD,ADILABAD,0103013,Tarada  (Srimath),Bengal Gram,Stressed,1,1,0,0,1,0,0,1,0.5,38.0,24.0,3.0,12.0,0.1565,0.1565,100.0,100.0
ADILABAD,ADILABAD,0103013,Tarada  (Srimath),Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,66.0,43.0,2.0,17.0,1.1353,1.1353,0.0,100.0
ADILABAD,ADILABAD,0103015,Battisawargaon,Cotton,Healthy,4,4,0,4,0,0,0,0,0.0,85.5,49.0,4.75,13.75,0.6126,2.4506,0.0,100.0
