admin_old_district_code,admin_old_district_name,admin_old_block_mandal_code,admin_old_block_mandal_name,admin_village_code,admin_village_name,sample_farms,labelled_farms,unknown_health_farms,healthy_farms,stressed_farms,diseased_farms,pest_farms,unhealthy_farms,avg_health_risk_score,avg_crop_height,avg_water_coverage,avg_irrigation_count,avg_expected_yield,avg_field_area_ha,total_sample_area_ha,unhealthy_pct_of_labelled,label_coverage_pct,primary_sample_crop,primary_crop_sample_farms,dominant_health_status,dominant_status_labelled_farms,dashboard_risk_class
1,ADILABAD,101,TALAMADUGU,0101021,Devapur,1,1,0,1,0,0,0,0,0.0,91.0,47.0,6.0,10.0,0.8325,0.8325,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,101,TALAMADUGU,0101022,Pangadpipri,11,3,8,3,0,0,0,0,0.0,81.0,44.0909,3.0909,13.3636,1.0589,11.6481,0.0,27.27,Cotton,7,Healthy,3,Low
1,ADILABAD,101,TALAMADUGU,0101023,Lachampur,2,1,1,1,0,0,0,0,0.0,99.0,55.0,2.5,11.5,0.5023,1.0047,0.0,50.0,Cotton,2,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102001,Karanji (T),1,1,0,1,0,0,0,0,0.0,63.0,59.0,5.0,14.0,2.2928,2.2928,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102002,Guledi,1,1,0,1,0,0,0,0,0.0,72.0,50.0,3.0,10.0,0.8821,0.8821,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102003,Gomutri,1,1,0,1,0,0,0,0,0.0,77.0,43.0,4.0,12.0,0.5254,0.5254,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102004,Antargaon,1,1,0,1,0,0,0,0,0.0,104.0,52.0,3.0,12.0,0.5765,0.5765,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102005,Arli (T),2,2,0,2,0,0,0,0,0.0,109.0,55.0,5.5,12.0,0.6012,1.2024,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,102,TAMSI,0102008,Gollaghat,1,1,0,1,0,0,0,0,0.0,71.0,52.0,6.0,12.0,0.7552,0.7552,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102016,Belsari Rampur,2,2,0,0,0,1,1,2,0.85,67.5,53.5,6.0,14.0,0.9983,1.9966,100.0,100.0,Cotton,2,Diseased,1,Very High
1,ADILABAD,102,TAMSI,0102017,Anderband,1,1,0,1,0,0,0,0,0.0,86.0,58.0,5.0,14.0,0.8796,0.8796,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102018,Wadgaon,1,1,0,1,0,0,0,0,0.0,92.0,51.0,6.0,15.0,2.8724,2.8724,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102020,Pippalkhoti,2,2,0,2,0,0,0,0,0.0,72.0,57.5,5.0,12.0,1.3546,2.7091,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,102,TAMSI,0102024,Jamdi,1,1,0,1,0,0,0,0,0.0,50.0,25.0,2.0,12.0,0.9626,0.9626,0.0,100.0,Bengal Gram,1,Healthy,1,Low
1,ADILABAD,102,TAMSI,0102026,Girgaon,5,5,0,5,0,0,0,0,0.0,92.0,45.8,4.4,12.8,0.4865,2.4323,0.0,100.0,Cotton,5,Healthy,5,Low
1,ADILABAD,102,TAMSI,0102027,Ambugaon,1,1,0,0,1,0,0,1,0.5,106.0,43.0,4.0,11.0,0.41,0.41,100.0,100.0,Cotton,1,Stressed,1,High
