file,column,dtype,missing,unique_values,min,max,mean,sample_values
Train.csv,FarmID,int64,0,7888,278.0,1332156.0,1256653.9752789047,
Train.csv,category,object,0,4,,,,Healthy | Diseased | Pests | Stressed
Train.csv,Crop,object,0,7,,,,Paddy | Cotton | Maize | Bengal Gram | Groundnut | Chillies | Red Gram
Train.csv,State,object,0,1,,,,Telangana
Train.csv,District,object,0,14,,,,Medak | Siddipet | Adilabad | Nirmal | Mahabubnagar | Nagarkurnool | Narayanpet | Vikarabad | Wanaparthy | Nalgonda | Kamareddy | Mahabubabad | Khammam | Warangal
Train.csv,Sub-District,object,0,116,,,,Kulcharam | Kowdipally | Chilipched | Narsapur | Yeldurthy | Medak | Chegunta | Doultabad | Ramayampet | Shankarampet_A | Manoharabad | Alladurg | Havelighanpur | Inderavelly | Sirikonda
Train.csv,SDate,object,0,419,,,,2023-11-25 0:00:00 | 2023-11-13 0:00:00 | 2023-12-19 0:00:00 | 2023-02-11 0:00:00 | 2023-12-12 0:00:00 | 2023-12-13 0:00:00 | 2023-11-20 0:00:00 | 2023-12-14 0:00:00 | 2023-10-12 0:00:00 | 2023-02-12 0:00:00 | 2023-06-12 0:00:00 | 2023-12-28 0:00:00 | 2023-09-11 0:00:00 | 2023-12-24 0:00:00 | 2023-12-20 0:00:00
Train.csv,HDate,object,0,476,,,,2024-04-14 0:00:00 | 2024-04-26 0:00:00 | 2024-04-28 0:00:00 | 2024-11-04 0:00:00 | 2024-05-19 0:00:00 | 2024-05-18 0:00:00 | 2024-05-30 0:00:00 | 2024-04-04 0:00:00 | 2024-10-05 0:00:00 | 2024-04-22 0:00:00 | 2024-05-29 0:00:00 | 2024-04-15 0:00:00 | 2024-05-14 0:00:00 | 2024-05-13 0:00:00 | 2024-01-04 0:00:00
Train.csv,CropCoveredArea,int64,0,61,40.0,100.0,77.4192444219067,
Train.csv,CHeight,int64,0,231,20.0,250.0,87.44878296146045,
Train.csv,CNext,object,0,10,,,,Pea | Lentil | Sorghum | Maize | Wheat | Soybean | Mustard | Rice | Tomato | Onion
Train.csv,CLast,object,0,10,,,,Lentil | Pea | Maize | Sorghum | Soybean | Wheat | Mustard | Rice | Onion | Tomato
Train.csv,CTransp,object,0,4,,,,Transplanting | Broadcasting | Drilling | Seed Drilling
Train.csv,IrriType,object,0,4,,,,Flood | Sprinkler | Drip | Surface
Train.csv,IrriSource,object,0,5,,,,Groundwater | Canal | Rainfed | Well | Tubewell
Train.csv,IrriCount,int64,0,6,1.0,6.0,3.538159229208925,
Train.csv,WaterCov,int64,0,62,20.0,100.0,57.15428498985801,
